AgeCE,DepthM
2011,0
1911,43.82995192
1891,50.19112729
1871,56.23502752
1851,62.02121494
1831,67.59448804
1811,72.98495816
1791,78.21740281
1771,83.3096001
1751,88.27569765
1731,93.12744355
1711,97.87376235
1691,102.521815
1671,107.0777085
1651,111.5465294
1631,115.9325513
1611,120.2394914
1591,124.4705907
1571,128.628719
1551,132.7162711
1531,136.7354677
1511,140.688236
1491,144.5766333
1471,148.4026157
1451,152.1673694
1431,155.8723639
1411,159.5189898
1391,163.1084004
1371,166.6417541
1351,170.1203628
1331,173.5452901
1311,176.9175744
1291,180.2383301
1271,183.5085386
1251,186.7289386
1231,189.900547
1211,193.0245208
1191,196.101583
1171,199.132609
1151,202.1184119
1131,205.0598157
1111,207.9574251
1091,210.8123937
1071,213.6253637
1051,216.3969572
1031,219.1278414
1011,221.818778
991,224.4702825
971,227.0832824
951,229.6585585
931,232.1967875
911,234.6987853
891,237.1653376
871,239.5972438
851,241.9952469
831,244.3599949
811,246.6921198
791,248.9925339
771,251.2618119
751,253.5004734
731,255.7091846
711,257.8884556
691,260.0389202
671,262.1611693
651,264.2557368
631,266.3231416
611,268.3639491
591,270.3786912
571,272.367885
551,274.3319297
531,276.2713352
511,278.1865031
491,280.0778922
471,281.9460029
451,283.7912928
431,285.614092
411,287.4148965
391,289.1940533
371,290.9519551
351,292.6890293
331,294.405597
311,296.101962
291,297.7785236
271,299.4356321
251,301.0736641
231,302.6929399
211,304.2937164
191,305.8763407
171,307.4411039
151,308.9883457
131,310.5183944
111,312.0314845
91,313.5278923
71,315.0078843
51,316.4717344
31,317.9197072
11,319.3521012
-9,320.7691849
-29,322.1711714
-49,323.5582279
-69,324.9306434
-89,326.2886409
-109,327.6324785
-129,328.9624692
-149,330.2786922
-169,331.5813577
-189,332.8706829
-209,334.1468854
-229,335.4102154
-249,336.6607601
-269,337.8987462
-289,339.1243716
-309,340.3378257
-329,341.5392769
-349,342.7289324
-369,343.9069725
-389,345.0735065
-409,346.2287119
-429,347.3727524
-449,348.5058283
-469,349.6280808
-489,350.7396869
-509,351.8407383
-529,352.9314676
-549,354.0119539
-569,355.0824132
-589,356.1428999
-609,357.1935681
-629,358.2345724
-649,359.2660547
-669,360.2881229
-689,361.3009655
-709,362.3046365
-729,363.2992563
-749,364.2849344
-769,365.261824
-789,366.2300253
-809,367.1896745
-829,368.1408992
-849,369.0838648
-869,370.0185913
-889,370.9451754
-909,371.8637125
-929,372.7743641
-949,373.6772024
-969,374.5723329
-989,375.4598912
-1009,376.3554013
-1029,377.2392866
-1049,378.1180465
-1069,378.9920699
-1089,379.8617028
-1109,380.7271629
-1129,381.5885343
-1149,382.4460666
-1169,383.299843
-1189,384.1498802
-1209,384.996325
-1229,385.8392386
-1249,386.6787062
-1269,387.5147789
-1289,388.3475531
-1309,389.1770738
-1329,390.0033895
-1349,390.8266052
-1369,391.6467735
-1389,392.463977
-1409,393.27824
-1429,394.0896739
-1449,394.8983224
-1469,395.7042818
-1489,396.5075965
-1509,397.3083257
-1529,398.1065418
-1549,398.9023547
-1569,399.6957942
-1589,400.4869345
-1609,401.2758309
-1629,402.0625492
-1649,402.8472031
-1669,403.6298173
-1689,404.4104512
-1709,405.1891739
-1729,405.9660604
-1749,406.7412051
-1769,407.5146318
-1789,408.2863971
-1809,409.0565903
-1829,409.8252851
-1849,410.5925392
-1869,411.3584042
-1889,412.1229365
-1909,412.8862113
-1929,413.6483106
-1949,414.4092855
-1969,415.1692013
-1989,415.928109
