tube,top,bottom,length,Na (ppb),NH4 (ppb),K (ppb),Mg (ppb),Ca (ppb),Cl (ppb),NO3 (ppb),SO4 (ppb)
1,0,0.02,0.02,40.24,40.24,14.86,3.72,12.88,54.87,32.94,44.39
1,0.02,0.04,0.02,10.74,10.74,1.9,1.29,2.45,23.87,30.07,22.99
1,0.04,0.06,0.02,85.17,85.17,19.44,6.49,7.94,113.01,41.89,45.93
1,0.06,0.08,0.02,72,72,2.31,9.44,3.87,123.51,64.66,73.48
1,0.08,0.1,0.02,79.44,79.44,2.88,10.17,3.74,131.56,60.36,80.81
1,0.1,0.12,0.02,61.63,61.63,2.32,7.15,3.06,107.59,58.25,67.81
1,0.12,0.14,0.02,53.48,53.48,4.03,5.65,2.6,92.63,58.59,81.51
1,0.14,0.16,0.02,31.37,31.37,1.04,4.17,1.49,55.96,36.56,68.7
1,0.16,0.18,0.02,29.88,29.88,1.06,3.94,1.39,51.49,34.65,71.08
1,0.18,0.2,0.02,19.3,19.3,0.68,2.64,1.04,34.64,27.58,59.26
1,0.2,0.22,0.02,21.14,21.14,0.65,3.24,1.12,37.45,23.89,49.19
1,0.22,0.24,0.02,30.07,30.07,0.84,4.57,1.52,57.66,19.8,42.48
1,0.24,0.26,0.02,31.48,31.48,0.81,5.07,1.73,61.38,20.25,39.14
1,0.26,0.28,0.02,39.38,39.38,1.05,6.02,1.85,78.27,21.5,33.53
1,0.28,0.3,0.02,74.82,74.82,1.79,9.99,3.64,128.7,23.41,47.86
1,0.3,0.32,0.02,36.06,36.06,0.95,4.05,1.58,67.93,36.26,46.96
1,0.32,0.34,0.02,40.48,40.48,1.05,4.63,1.76,73.92,55.09,53.68
1,0.34,0.36,0.02,28.95,28.95,0.83,3.39,1.27,63.45,98.97,79.89
1,0.36,0.38,0.02,8.74,8.74,0.43,1.08,0.65,33.79,101.69,50.06
1,0.38,0.4,0.02,3.19,3.19,0.22,0.5,0.38,13.28,77.23,37.13
1,0.4,0.42,0.02,81,81,1.76,8.7,3.44,116.42,39.83,91.93
1,0.42,0.44,0.02,40.42,40.42,1.02,4.26,2.02,73.73,28.31,40.94
1,0.44,0.46,0.02,10.21,10.21,0.32,1.36,0.78,21.3,20.21,39.86
1,0.46,0.48,0.02,6.74,6.74,0.23,0.84,0.59,16.09,19.05,36.27
1,0.48,0.5,0.02,6.67,6.67,0.19,0.77,0.39,16.09,20.31,41.5
1,0.5,0.52,0.02,14.07,14.07,0.31,1.48,0.67,28.49,20.68,49.83
1,0.52,0.54,0.02,55.62,55.62,1.2,6.71,2.51,86.98,21.42,109.02
1,0.54,0.56,0.02,46.8,46.8,1.19,5.65,2.08,77.03,24.83,131.9
1,0.56,0.58,0.02,12.3,12.3,0.44,1.53,0.86,24.92,31.41,91.81
1,0.58,0.6,0.02,10.17,10.17,0.33,1.09,0.7,24.49,32.68,86.71
1,0.6,0.62,0.02,11.38,11.38,0.43,1.22,0.9,30.2,47.37,101.62
1,0.62,0.64,0.02,102.28,102.28,2.98,12.95,3.91,141.02,37.78,213.59
1,0.64,0.66,0.02,78.19,78.19,2.03,9.55,2.82,116.6,34.2,151.28
1,0.66,0.68,0.02,25.38,25.38,0.95,5.22,1.29,60.01,13.63,50.38
1,0.68,0.7,0.02,86.15,86.15,2.55,20.73,3.49,160.83,5.23,41.58
1,0.7,0.72,0.02,328.41,328.41,12.2,31.7,14.07,475.94,4.47,59.84
1,0.72,0.74,0.02,224.51,224.51,7.32,39.78,11.19,332.52,4.57,115.17
1,0.74,0.76,0.02,83.9,83.9,2.54,12.88,4.02,147.67,14.42,70.65
1,0.76,0.78,0.02,80.39,80.39,2.3,12.41,3.83,131.34,19.28,56.7
1,0.78,0.8,0.02,68.99,68.99,2,9.95,3.58,114.42,20.36,109.59
1,0.8,0.82,0.02,21.4,21.4,0.96,2.93,1.44,50.57,27.61,74.74
1,0.82,0.84,0.02,13.95,13.95,0.79,1.7,0.9,37.97,27.56,54.72
1,0.84,0.86,0.02,13.11,13.11,0.65,1.56,1.1,36.93,28.52,44.68
1,0.86,0.88,0.02,10.34,10.34,0.73,1.2,0.79,32.28,35.79,39.6
1,0.88,0.9,0.02,34.12,34.12,1.45,4.28,1.58,74.24,40.38,48.6
1,0.9,0.92,0.02,68.8,68.8,1.83,9.58,3.1,110.61,30.72,98.83
1,0.92,0.94,0.02,14.91,14.91,0.68,2.03,1.06,34.17,34.44,94.88
1,0.94,0.96,0.02,14.38,14.38,0.56,1.72,1.01,41.52,40.96,88.44
1,0.96,0.98,0.02,29.51,29.51,0.86,3.17,1.36,62.22,42.39,130.23
1,0.98,1,0.02,25,25,0.79,2.9,1.21,48.21,43.54,136.28
1,1,1.02,0.02,19.25,19.25,0.92,2.32,1.05,42.05,48.23,134.91
1,1.02,1.04,0.02,31.83,31.83,1.45,3.65,1.47,58.88,44.15,104.67
1,1.04,1.06,0.02,15.36,15.36,0.93,1.81,1.07,31.09,43.87,52.59
1,1.06,1.08,0.02,15.63,15.63,0.84,1.8,0.82,32.45,38.59,42.4
1,1.08,1.1,0.02,10.09,10.09,0.6,1.18,0.79,25.26,36.41,31.82
1,1.1,1.12,0.02,7.85,7.85,0.4,0.88,0.62,24.07,42.68,32.28
1,1.12,1.14,0.02,4.75,4.75,0.71,0.65,0.52,19.33,41.74,31.26
1,1.14,1.16,0.02,6,6,0.41,0.73,0.6,19.52,44.08,35.46
1,1.16,1.18,0.02,10.61,10.61,0.49,1.19,0.7,27.99,41.75,48.48
1,1.18,1.2,0.02,13.17,13.17,0.43,1.55,1.15,30.26,42.22,57.53
1,1.2,1.22,0.02,10.58,10.58,0.28,1.3,0.73,27.35,44.73,63.91
1,1.22,1.24,0.02,3.52,3.52,0.28,0.49,0.57,12.68,47.3,77.57
1,1.24,1.26,0.02,10.45,10.45,0.65,1.24,0.85,22.93,53.16,140.1
1,1.26,1.28,0.02,24.27,24.27,1.13,2.83,1.4,54.56,57.87,168.24
1,1.28,1.3,0.02,28.03,28.03,2.7,2.76,1.7,71.77,56.85,264.9
1,1.3,1.32,0.02,21.68,21.68,0.94,2.48,1.39,56.63,58.19,313.22
1,1.32,1.34,0.02,53.43,53.43,2.02,5.76,2.31,112.65,55.51,212.85
1,1.34,1.36,0.02,23.34,23.34,1.3,2.65,1.53,54.87,51.81,122.9
1,1.36,1.38,0.02,16.56,16.56,3.35,1.65,1.15,43.5,39.32,99.96
1,1.38,1.4,0.02,12.11,12.11,0.77,1.91,0.79,41.12,30.89,84.72
1,1.4,1.42,0.02,208.84,208.84,6.94,24.24,8.76,352.37,15.79,99.64
1,1.42,1.44,0.02,234.09,234.09,8.52,21.06,9.86,396.81,16.6,70.39
1,1.44,1.46,0.02,111.24,111.24,3.44,18.57,5.24,194.77,15.13,42.7
1,1.46,1.48,0.02,42.48,42.48,1.34,6.23,1.93,93.06,28.01,34.91
1,1.48,1.5,0.02,51,51,1.67,6.64,2.58,106.05,33.62,75.15
1,1.5,1.52,0.02,33,33,1.43,3.7,1.56,73.29,53.85,163.56
1,1.52,1.54,0.02,22.35,22.35,1.11,2.76,1.31,61.18,43.47,86.54
1,1.54,1.56,0.02,8.73,8.73,1.4,0.81,0.86,34.55,56.16,109.16
1,1.56,1.58,0.02,42.75,42.75,2.89,4.92,2.11,92.99,61.54,170.37
1,1.58,1.6,0.02,96.71,96.71,3.6,12.78,4.37,184.23,58.88,171.09
1,1.6,1.62,0.02,160.12,160.12,5.22,19.06,7.41,277.29,56.17,203.52
1,1.62,1.64,0.02,94.82,94.82,4.36,10.02,3.96,196.28,64.47,150.71
1,1.64,1.66,0.02,69.38,69.38,4.08,6.06,2.65,154.32,76.55,138.47
1,1.66,1.68,0.02,64.26,64.26,2.9,5.32,2.35,149.59,79.1,133.41
1,1.68,1.7,0.02,66.49,66.49,4.01,5.61,2.41,156.86,70.22,125.76
1,1.7,1.72,0.02,110.79,110.79,5.24,12.38,4.03,219.86,53.1,145.81
1,1.72,1.74,0.02,202.1,202.1,8.35,21.69,8.74,352.81,38.88,136.08
1,1.74,1.76,0.02,96.07,96.07,3.04,11.94,3.86,191.55,23.03,47.33
1,1.76,1.78,0.02,66.67,66.67,2.07,9.02,3.01,139.65,14.52,32.11
1,1.78,1.8,0.02,70.35,70.35,1.95,10.07,2.87,147.36,9.92,28.8
1,1.8,1.82,0.02,166.15,166.15,4.77,20.4,7.36,275.43,9.52,74.88
1,1.82,1.84,0.02,120.83,120.83,3.21,15.7,5.52,211.88,9.29,53.2
1,1.84,1.86,0.02,72.24,72.24,2.03,12.62,3.36,147.49,9.16,35.4
1,1.86,1.88,0.02,112.14,112.14,3.09,13.85,4.82,198.52,10.42,31.23
1,1.88,1.9,0.02,108.17,108.17,3.17,13.92,4.65,194.43,9.93,30.61
1,1.9,1.92,0.02,104.19,104.19,3.04,12.53,4.31,187.11,11.17,28.78
1,1.92,1.94,0.02,71.86,71.86,2.09,9.97,3.1,133.96,12.82,28.74
1,1.94,1.96,0.02,48.82,48.82,1.35,6.83,2.12,93.29,19.41,28.76
1,1.96,1.98,0.02,43.65,43.65,1.17,5.85,1.91,83.52,23.43,29.36
1,1.98,2,0.02,35.44,35.44,1,4.8,1.56,74.76,30.04,34.17
1,2,2.02,0.02,0,0,0,0,0,0,0,0
1,2.02,2.04,0.02,0,0,0,0,0,0,0,0
1,2.04,2.06,0.02,0,0,0,0,0,0,0,0
1,2.06,2.08,0.02,0,0,0,0,0,0,0,0
1,2.08,2.1,0.02,0,0,0,0,0,0,0,0
1,2.1,2.12,0.02,0,0,0,0,0,0,0,0
1,2.12,2.14,0.02,0,0,0,0,0,0,0,0
1,2.14,2.16,0.02,0,0,0,0,0,0,0,0
1,2.16,2.18,0.02,0,0,0,0,0,0,0,0
1,2.18,2.2,0.02,5,0,0,0,0,0,0,0
1,2.2,2.22,0.02,0,0,0,0,0,0,0,0
1,2.22,2.24,0.02,0,0,0,0,0,0,0,0
1,2.24,2.26,0.02,0,0,0,0,0,0,0,0
1,2.26,2.28,0.02,0,0,0,0,0,0,0,0
1,2.28,2.3,0.02,0,0,0,0,0,0,0,0
1,2.3,2.32,0.02,0,0,0,0,0,0,0,0
1,2.32,2.34,0.02,0,0,0,0,0,0,0,0
1,2.34,2.36,0.02,0,0,0,0,0,0,0,0
1,2.36,2.38,0.02,0,0,0,0,0,0,0,0
1,2.38,2.4,0.02,0,0,0,0,0,0,0,0
1,2.4,2.42,0.02,0,0,0,0,0,0,0,0
1,2.42,2.44,0.02,0,0,0,0,0,0,0,0
1,2.44,2.46,0.02,0,0,0,0,0,0,0,0
1,2.46,2.48,0.02,0,0,0,0,0,0,0,0
1,2.48,2.5,0.02,0,0,0,0,0,0,0,0
1,2.5,2.52,0.02,0,0,0,0,0,0,0,0
1,2.52,2.54,0.02,0,0,0,0,0,0,0,0
1,2.54,2.56,0.02,0,0,0,0,0,0,0,0
1,2.56,2.58,0.02,0,0,0,0,0,0,0,0
1,2.58,2.6,0.02,0,0,0,0,0,0,0,0
1,2.6,2.62,0.02,0,0,0,0,0,0,0,0
1,2.62,2.64,0.02,0,0,0,0,0,0,0,0
1,2.64,2.66,0.02,0,0,0,0,0,0,0,0
1,2.66,2.68,0.02,0,0,0,0,0,0,0,0
1,2.68,2.7,0.02,0,0,0,0,0,0,0,0
1,2.7,2.72,0.02,0,0,0,0,0,0,0,0
1,2.72,2.74,0.02,0,0,0,0,0,0,0,0
1,2.74,2.76,0.02,0,0,0,0,0,0,0,0
1,2.76,2.78,0.02,0,0,0,0,0,0,0,0
1,2.78,2.8,0.02,0,0,0,0,0,0,0,0
1,2.8,2.82,0.02,0,0,0,0,0,0,0,0
1,2.82,2.84,0.02,0,0,0,0,0,0,0,0
1,2.84,2.86,0.02,0,0,0,0,0,0,0,0
1,2.86,2.88,0.02,0,0,0,0,0,0,0,0
1,2.88,2.9,0.02,0,0,0,0,0,0,0,0
1,2.9,2.92,0.02,0,0,0,0,0,0,0,0
1,2.92,2.94,0.02,0,0,0,0,0,0,0,0
1,2.94,2.96,0.02,0,0,0,0,0,0,0,0
1,2.96,2.98,0.02,0,0,0,0,0,0,0,0
1,2.98,3,0.02,0,0,0,0,0,0,0,0
1,3,3.02,0.02,0,0,0,0,0,0,0,0
1,3.02,3.04,0.02,0,0,0,0,0,0,0,0
1,3.04,3.06,0.02,0,0,0,0,0,0,0,0
1,3.06,3.08,0.02,0,0,0,0,0,0,0,0
1,3.08,3.1,0.02,0,0,0,0,0,0,0,0
1,3.1,3.12,0.02,0,0,0,0,0,0,0,0
1,3.12,3.14,0.02,0,0,0,0,0,0,0,0
1,3.14,3.16,0.02,0,0,0,0,0,0,0,0
1,3.16,3.18,0.02,0,0,0,0,0,0,0,0
1,3.18,3.2,0.02,0,0,0,0,0,0,0,0
1,3.2,3.22,0.02,0,0,0,0,0,0,0,0
1,3.22,3.24,0.02,0,0,0,0,0,0,0,0
1,3.24,3.26,0.02,0,0,0,0,0,0,0,0
1,3.26,3.28,0.02,0,0,0,0,0,0,0,0
1,3.28,3.3,0.02,0,0,0,0,0,0,0,0
1,3.3,3.32,0.02,0,0,0,0,0,0,0,0
1,3.32,3.34,0.02,0,0,0,0,0,0,0,0
1,3.34,3.36,0.02,0,0,0,0,0,0,0,0
1,3.36,3.38,0.02,0,0,0,0,0,0,0,0
1,3.38,3.4,0.02,0,0,0,0,0,0,0,0
1,3.4,3.42,0.02,0,0,0,0,0,0,0,0
1,3.42,3.44,0.02,0,0,0,0,0,0,0,0
1,3.44,3.46,0.02,0,0,0,0,0,0,0,0
1,3.46,3.48,0.02,0,0,0,0,0,0,0,0
1,3.48,3.5,0.02,0,0,0,0,0,0,0,0
1,3.5,3.52,0.02,0,0,0,0,0,0,0,0
1,3.52,3.54,0.02,0,0,0,0,0,0,0,0
1,3.54,3.56,0.02,0,0,0,0,0,0,0,0
1,3.56,3.58,0.02,0,0,0,0,0,0,0,0
1,3.58,3.6,0.02,0,0,0,0,0,0,0,0
1,3.6,3.62,0.02,0,0,0,0,0,0,0,0
1,3.62,3.64,0.02,0,0,0,0,0,0,0,0
1,3.64,3.66,0.02,0,0,0,0,0,0,0,0
1,3.66,3.68,0.02,0,0,0,0,0,0,0,0
1,3.68,3.7,0.02,0,0,0,0,0,0,0,0
1,3.7,3.72,0.02,0,0,0,0,0,0,0,0
1,3.72,3.74,0.02,0,0,0,0,0,0,0,0
1,3.74,3.76,0.02,0,0,0,0,0,0,0,0
1,3.76,3.78,0.02,0,0,0,0,0,0,0,0
1,3.78,3.8,0.02,0,0,0,0,0,0,0,0
1,3.8,3.82,0.02,0,0,0,0,0,0,0,0
1,3.82,3.84,0.02,0,0,0,0,0,0,0,0
1,3.84,3.86,0.02,0,0,0,0,0,0,0,0
1,3.86,3.88,0.02,0,0,0,0,0,0,0,0
1,3.88,3.9,0.02,0,0,0,0,0,0,0,0
1,3.9,3.92,0.02,0,0,0,0,0,0,0,0
1,3.92,3.94,0.02,0,0,0,0,0,0,0,0
1,3.94,3.96,0.02,0,0,0,0,0,0,0,0
