AgeCE,DepthM
2011,0
1911,44.51592304
1891,51.05042197
1871,57.2866393
1851,63.28296834
1831,69.08347646
1811,74.71837998
1791,80.21115932
1771,85.57913592
1751,90.83602628
1731,95.99213305
1711,101.0559685
1691,106.0341223
1671,110.9319626
1651,115.753967
1631,120.5037425
1611,125.1843432
1591,129.7983362
1571,134.3479803
1551,138.8351635
1531,143.261575
1511,147.6287079
1491,151.9378869
1471,156.1903343
1451,160.3871578
1431,164.5293755
1411,168.6179391
1391,172.653745
1371,176.6376396
1351,180.570426
1331,184.4528724
1311,188.2857163
1291,192.0696686
1271,195.8054174
1251,199.4936311
1231,203.1349598
1211,206.7300372
1191,210.2794824
1171,213.7839014
1151,217.2438885
1131,220.660026
1111,224.0328859
1091,227.3630725
1071,230.651289
1051,233.898326
1031,237.1049668
1011,240.2719599
991,243.400041
971,246.4899326
951,249.5423295
931,252.5579103
911,255.5373514
891,258.4812929
871,261.3903705
851,264.2651972
831,267.106382
811,269.9145111
791,272.6901596
771,275.4338855
751,278.1462443
731,280.8277697
711,283.4789823
691,286.1003883
671,288.6925002
651,291.2558013
631,293.7907607
611,296.2978642
591,298.7775604
571,301.2302859
551,303.6564994
531,306.0566174
511,308.4310541
491,310.7802352
471,313.1045464
451,315.4043861
431,317.6801438
411,319.9321768
391,322.1608817
371,324.3666011
351,326.5496933
331,328.7105098
311,330.8493743
291,332.9666443
271,335.0626184
251,337.1376399
231,339.1920047
211,341.2260269
191,343.2400059
171,345.2342364
151,347.2090126
131,349.1646072
111,351.1013129
91,353.0193835
71,354.9191079
51,356.800725
31,358.6645168
11,360.5107107
-9,362.3395791
-29,364.1513417
-49,365.9462581
-69,367.7245441
-89,369.4864438
-109,371.2321724
-129,372.9619559
-149,374.6760184
-169,376.3745584
-189,378.0578074
-209,379.7259391
-229,381.3791954
-249,383.0177361
-269,384.6417893
-289,386.2515217
-309,387.8471319
-329,389.4288156
-349,390.9967269
-369,392.5510817
-389,394.092018
-409,395.6197362
-429,397.1343957
-449,398.6361515
-469,400.1251975
-489,401.6016575
-509,403.0657201
-529,404.5175319
-549,405.957228
-569,407.3849959
-589,408.8009465
-609,410.2052436
-629,411.5980429
-649,412.9794496
-669,414.3496406
-689,415.7087367
-709,417.056852
-729,418.3941603
-749,419.7207603
-769,421.0367787
-789,422.3423716
-809,423.6376278
-829,424.92268
-849,426.1976715
-869,427.4626835
-889,428.7178486
-909,429.9633018
-929,431.199119
-949,432.425427
-969,433.6423565
-989,434.8499804
-1009,436.0484628
-1029,437.2380685
-1049,438.4190109
-1069,439.5915285
-1089,440.7558907
-1109,441.912303
-1129,443.0609686
-1149,444.202147
-1169,445.3360268
-1189,446.4627809
-1209,447.5826324
-1229,448.6957742
-1249,449.8023608
-1269,450.902572
-1289,451.996614
-1309,453.0846219
-1329,454.1667342
-1349,455.2431513
-1369,456.3140149
-1389,457.3794484
-1409,458.4396125
-1429,459.4946835
-1449,460.544777
-1469,461.5900102
-1489,462.6305578
-1509,463.6665524
-1529,464.6981029
-1549,465.7253362
-1569,466.7484133
-1589,467.767449
-1609,468.7825407
-1629,469.7938409
-1649,470.8014902
-1669,471.8055898
-1689,472.8062347
-1709,473.8035859
-1729,474.7977518
-1749,475.7888427
-1769,476.7769501
-1789,477.7622498
-1809,478.7448345
-1829,479.7247884
-1849,480.7022366
-1869,481.6773264
-1889,482.6501251
-1909,483.6206399
-1929,484.5889248
-1949,485.5550723
-1969,486.5191092
-1989,487.4810373
-2009,488.4409119
-2029,489.3987461
-2049,490.3544836
-2069,491.3080866
-2089,492.2595742
-2109,493.2089223
-2129,494.1561049
-2149,495.1010868
-2169,496.0438543
-2189,496.9844437
-2209,497.9227886
-2229,498.8588735
-2249,499.7927149
-2269,500.724307
-2289,501.6536425
-2309,502.5806467
-2329,503.5053903
-2349,504.4278364
-2369,505.3480006
-2389,506.2658002
-2409,507.1813065
-2429,508.0944926
-2449,509.0053569
-2469,509.9138598
-2489,510.8199947
-2509,511.7238221
-2529,512.6252923
-2549,513.5243622
-2569,514.4210711
-2589,515.315413
-2609,516.2073864
-2629,517.0969611
-2649,517.9841111
-2669,518.8688825
-2689,519.7512679
-2709,520.6312408
-2729,521.5087547
-2749,522.3838532
-2769,523.2565608
-2789,524.1268203
-2809,524.9946162
-2829,525.8599607
-2849,526.7228777
-2869,527.583342
-2889,528.4413163
-2909,529.2968023
-2929,530.149844
-2949,531.0004161
-2969,531.848488
-2989,532.6940341
-3009,533.5370989
-3029,534.3776723
-3049,535.215744
-3069,536.0512658
-3089,536.8842476
-3109,537.7147323
-3129,538.5426984
-3149,539.3681055
-3169,540.1909286
-3189,541.0112274
-3209,541.8289805
-3229,542.644189
-3249,543.4567966
-3269,544.2668092
-3289,545.0742709
-3309,545.8791602
-3329,546.6814421
-3349,547.4811115
-3369,548.2781692
-3389,549.0726604
-3409,549.8645293
-3429,550.6537722
-3449,551.4403609
-3469,552.2243348
-3489,553.0056961
-3509,553.7844312
-3529,554.5604989
-3549,555.3338769
-3569,556.104637
-3589,556.8727581
-3609,557.6382099
