AgeCE,DepthM
2011,0
1911,44.90670542
1891,51.58755762
1871,57.99144883
1851,64.17602087
1831,70.18322929
1811,76.04448934
1791,81.78151034
1771,87.41199883
1751,92.94841529
1731,98.40119339
1711,103.7778429
1691,109.0847473
1671,114.3266992
1651,119.5076572
1631,124.6308219
1611,129.6987628
1591,134.7136615
1571,139.6773016
1551,144.5911883
1531,149.4566208
1511,154.2747073
1491,159.0464164
1471,163.7726006
1451,168.4540338
1431,173.0914035
1411,177.6853414
1391,182.2364269
1371,186.7452091
1351,191.2121943
1331,195.637865
1311,200.0226825
1291,204.3670864
1271,208.6715017
1251,212.93634
1231,217.1620001
1211,221.3488708
1191,225.4973325
1171,229.6077575
1151,233.6805112
1131,237.7159521
1111,241.7144335
1091,245.6763035
1071,249.6019052
1051,253.4915772
1031,257.3456538
1011,261.1644655
991,264.9483386
971,268.6975962
951,272.4125576
931,276.0935388
911,279.7408526
891,283.3548085
871,286.9357131
851,290.4838696
831,293.9995788
811,297.483138
791,300.9348421
771,304.3549829
751,307.7438496
731,311.1017286
711,314.4289036
691,317.7256557
671,320.9922633
651,324.2290024
631,327.4361462
611,330.6139655
591,333.7627286
571,336.8827014
551,339.9741471
531,343.0373267
511,346.0724987
491,349.0799192
471,352.0598422
451,355.012519
431,357.9381988
411,360.8371285
391,363.7095528
371,366.5557139
351,369.3758521
331,372.1702052
311,374.9390092
291,377.6824975
271,380.4009018
251,383.0944513
231,385.7633733
211,388.4078929
191,391.0282334
171,393.6246158
151,396.1972592
131,398.7463805
111,401.2721949
91,403.7749156
71,406.2547535
51,408.711918
31,411.1466164
11,413.5590541
-9,415.9494346
-29,418.3179595
-49,420.6648288
-69,422.9902405
-89,425.2943906
-109,427.5774737
-129,429.8396822
-149,432.0812072
-169,434.3022377
-189,436.5029611
-209,438.683563
-229,440.8442275
-249,442.9851368
-269,445.1064715
-289,447.2084107
-309,449.2911316
-329,451.35481
-349,453.3996199
-369,455.425734
-389,457.4333231
-409,459.4225566
-429,461.3936024
-449,463.3466267
-469,465.2817943
-489,467.1992685
-509,469.099211
-529,470.9817821
-549,472.8471407
-569,474.6954442
-589,476.5268484
-609,478.3415079
-629,480.1395758
-649,481.9212038
-669,483.6865422
-689,485.43574
-709,487.1689446
-729,488.8863024
-749,490.5879582
-769,492.2740556
-789,493.9447369
-809,495.6001429
-829,497.2404134
-849,498.8656868
-869,500.4761001
-889,502.0717892
-909,503.6528888
-929,505.2195323
-949,506.7718518
-969,508.3099783
-989,509.8340415
-1009,511.3441701
-1029,512.8404914
-1049,514.3231317
-1069,515.7922161
-1089,517.2478685
-1109,518.6902117
-1129,520.1193674
-1149,521.5354563
-1169,522.9385977
-1189,524.32891
-1209,525.7065106
-1229,527.0715156
-1249,528.4240402
-1269,529.7641986
-1289,531.0921038
-1309,532.4078678
-1329,533.7116017
-1349,535.0034154
-1369,536.2834179
-1389,537.5517173
-1409,538.8084204
-1429,540.0536334
-1449,541.2874613
-1469,542.5100081
-1489,543.7213771
-1509,544.9216705
-1529,546.1109894
-1549,547.2894343
-1569,548.4571045
-1589,549.6140987
-1609,550.7605143
-1629,551.8964481
-1649,553.0219959
-1669,554.1372528
-1689,555.2423128
-1709,556.3372691
-1729,557.4222141
-1749,558.4972393
-1769,559.5624355
-1789,560.6178925
-1809,561.6636993
-1829,562.6999442
-1849,563.7267147
-1869,564.7440973
-1889,565.7521778
-1909,566.7510414
-1929,567.7407722
-1949,568.7214539
-1969,569.6931691
-1989,570.6559998
-2009,571.6100272
-2029,572.5553319
-2049,573.4919935
-2069,574.4200912
-2089,575.3397032
-2109,576.2509071
-2129,577.1537797
-2149,578.0483973
-2169,578.9348353
-2189,579.8131686
-2209,580.6834711
-2229,581.5458164
-2249,582.4002772
-2269,583.2469255
-2289,584.0858329
-2309,584.9170701
-2329,585.7407071
-2349,586.5568136
-2369,587.3654584
-2389,588.1667096
-2409,588.9606349
-2429,589.7473013
-2449,590.5267751
-2469,591.299122
-2489,592.0644074
-2509,592.8226957
-2529,593.5740508
-2549,594.3185363
-2569,595.0562148
-2589,595.7871487
-2609,596.5113996
-2629,597.2290286
-2649,597.9400962
-2669,598.6446625
-2689,599.3427868
-2709,600.0345292
-2729,600.7199891
-2749,601.3992598
-2769,602.0723972
-2789,602.7394566
-2809,603.4004929
-2829,604.055578
-2849,604.704875
-2869,605.348457
-2889,605.9863744
-2909,606.618677
-2929,607.2454143
-2949,607.8666627
-2969,608.4825701
-2989,609.0931965
-3009,609.6985874
-3029,610.2987876
-3049,610.8938416
-3069,611.483807
-3089,612.0688211
-3109,612.6489524
-3129,613.2242418
-3149,613.7947295
-3169,614.3604556
-3189,614.92146
-3209,615.4778324
-3229,616.0296833
-3249,616.5770539
-3269,617.1199806
-3289,617.6584994
-3309,618.1926461
-3329,618.7224562
-3349,619.2480206
-3369,619.7694363
-3389,620.2867375
-3409,620.7999567
-3429,621.3091262
-3449,621.8142779
-3469,622.3154434
-3489,622.8126797
-3509,623.3060952
-3529,623.7957295
-3549,624.2816118
-3569,624.7637707
-3589,625.2422348
-3609,625.7170324
-3629,626.1881916
-3649,626.6557834
-3669,627.119895
-3689,627.5805559
-3709,628.0377916
-3729,628.4916278
-3749,628.9420895
-3769,629.3892021
-3789,629.8329903
-3809,630.2735007
-3829,630.7108267
-3849,631.1450009
-3869,631.5760458
-3889,632.0039842
-3909,632.4288382
-3929,632.8506303
-3949,633.2693824
-3969,633.6851165
-3989,634.0978905
-4009,634.50778
-4029,634.9148087
-4049,635.3189968
-4069,635.7203639
-4089,636.1189298
-4109,636.514714
-4129,636.9077359
-4149,637.2980149
-4169,637.6855807
-4189,638.0705175
-4209,638.4528556
-4229,638.8326125
-4249,639.2098055
-4269,639.5844521
-4289,639.9565694
-4309,640.3261744
-4329,640.6932842
-4349,641.0579155
-4369,641.420095
-4389,641.7798997
-4409,642.1373575
-4429,642.4924835
-4449,642.845293
-4469,643.1958011
-4489,643.5440228
-4509,643.8899731
-4529,644.2336666
-4549,644.5751183
-4569,644.9143426
-4589,645.2513782
-4609,645.5862872
-4629,645.919088
-4649,646.2497939
-4669,646.578418
-4689,646.9049735
-4709,647.2294733
-4729,647.5519304
-4749,647.8723577
-4769,648.1907679
-4789,648.5071737
-4809,648.821592
-4829,649.1340791
-4849,649.4446705
-4869,649.7533776
-4889,650.0602119
-4909,650.3651847
-4929,650.6683073
-4949,650.969591
-4969,651.2690468
-4989,651.566686
-5009,651.8625195
-5029,652.1565582
-5049,652.4488131
-5069,652.7393196
-5089,653.028127
-5109,653.3152482
-5129,653.6006931
-5149,653.8844714
-5169,654.1665929
-5189,654.4470673
-5209,654.7259041
-5229,655.003113
-5249,655.2787034
-5269,655.5526848
-5289,655.8250665
-5309,656.095858
-5329,656.3650751
-5349,656.6327708
-5369,656.8989648
-5389,657.1636653
-5409,657.4268809
-5429,657.6886198
-5449,657.9488903
-5469,658.2077006
-5489,658.465059
-5509,658.7209736
-5529,658.9754525
-5549,659.2285037
-5569,659.4801352
-5589,659.7303551
-5609,659.9791712
-5629,660.2266163
-5649,660.4727285
-5669,660.7175161
-5689,660.9609864
-5709,661.2031464
-5729,661.4440031
-5749,661.6835636
-5769,661.9218348
-5789,662.1588237
-5809,662.3945372
-5829,662.6289822
-5849,662.8621654
-5869,663.0940937
-5889,663.3247738
-5909,663.5542125
-5929,663.7824182
-5949,664.0094274
-5969,664.2352668
-5989,664.4599423
-6009,664.68346
-6029,664.9058258
-6049,665.1270457
-6069,665.3471256
-6089,665.5660713
-6109,665.7838888
-6129,666.0005837
-6149,666.216162
-6169,666.4306293
-6189,666.6439914
-6209,666.8562539
-6229,667.0674226
-6249,667.2775031
-6269,667.4865009
-6289,667.6944433
-6309,667.9013608
-6329,668.1072593
-6349,668.3121437
-6369,668.5160191
-6389,668.7188905
-6409,668.9207628
-6429,669.1216408
-6449,669.3215296
-6469,669.5204339
-6489,669.7183587
-6509,669.9153087
-6529,670.1112887
-6549,670.3063036
-6569,670.500358
-6589,670.6934568
-6609,670.8856046
-6629,671.076806
-6649,671.2670669
-6669,671.4564153
-6689,671.6448746
-6709,671.8324487
-6729,672.019142
-6749,672.2049584
-6769,672.3899022
-6789,672.5739775
-6809,672.7571883
-6829,672.9395386
-6849,673.1210326
-6869,673.3016742
-6889,673.4814675
-6909,673.6604164
-6929,673.8385248
-6949,674.0157969
-6969,674.1922364
-6989,674.3678473
-7009,674.5426334
-7029,674.7165987
-7049,674.889747
-7069,675.0620857
-7089,675.2336454
-7109,675.4044386
-7129,675.5744687
-7149,675.7437392
-7169,675.9122534
-7189,676.0800148
-7209,676.2470266
-7229,676.4132922
-7249,676.5788151
-7269,676.7435984
-7289,676.9076455
-7309,677.0709596
-7329,677.2335441
-7349,677.3954023
-7369,677.5565372
-7389,677.7169523
-7409,677.8766507
-7429,678.0356356
-7449,678.1939101
-7469,678.3514776
-7489,678.508341
-7509,678.6645037
-7529,678.8199726
-7549,678.9747768
-7569,679.1289247
-7589,679.2824191
-7609,679.4352629
-7629,679.5874587
-7649,679.7390094
-7669,679.8899176
-7689,680.0401861
-7709,680.1898176
-7729,680.3388148
-7749,680.4871804
-7769,680.634917
-7789,680.7820274
-7809,680.9285141
-7829,681.0743798
-7849,681.2196273
-7869,681.3642589
-7889,681.5082775
-7909,681.6516856
-7929,681.7944857
-7949,681.9366805
-7969,682.0782725
-7989,682.2192643
